"county","county_ascii","county_full","county_fips","state_id","state_name","lat","lng","population"
"Carbon","Carbon","Carbon County","42025","PA","Pennsylvania","40.9182","-75.7089","65382"
"Columbia","Columbia","Columbia County","42037","PA","Pennsylvania","41.0486","-76.4052","65362"
"Apache","Apache","Apache County","04001","AZ","Arizona","35.3955","-109.4888","65341"
"Salem","Salem","Salem County","34033","NJ","New Jersey","39.5876","-75.3491","65275"
"Warrick","Warrick","Warrick County","18173","IN","Indiana","38.0922","-87.2721","65261"
"Tehama","Tehama","Tehama County","06103","CA","California","40.1256","-122.2341","65167"
"Nacogdoches","Nacogdoches","Nacogdoches County","48347","TX","Texas","31.6160","-94.6159","65162"
"Marion","Marion","Marion County","39101","OH","Ohio","40.5872","-83.1609","65020"
"Harrison","Harrison","Harrison County","54033","WV","West Virginia","39.2835","-80.3799","64984"
"Rutherford","Rutherford","Rutherford County","37161","NC","North Carolina","35.4026","-81.9198","64930"
"Walker","Walker","Walker County","01127","AL","Alabama","33.8033","-87.2973","64841"
"Coos","Coos","Coos County","41011","OR","Oregon","43.1742","-124.0594","64827"
"Georgetown","Georgetown","Georgetown County","45043","SC","South Carolina","33.4343","-79.3327","64811"
"Jefferson","Jefferson","Jefferson County","05069","AR","Arkansas","34.2683","-91.9304","64802"
"Adams","Adams","Adams County","17001","IL","Illinois","39.9879","-91.1885","64754"
"Belknap","Belknap","Belknap County","33001","NH","New Hampshire","43.5179","-71.4227","64659"
"Stanly","Stanly","Stanly County","37167","NC","North Carolina","35.3119","-80.2510","64651"
"Armstrong","Armstrong","Armstrong County","42005","PA","Pennsylvania","40.8121","-79.4646","64622"
"Isabella","Isabella","Isabella County","26073","MI","Michigan","43.6406","-84.8468","64565"
"Jefferson","Jefferson","Jefferson County","39081","OH","Ohio","40.3850","-80.7610","64518"
"Chaves","Chaves","Chaves County","35005","NM","New Mexico","33.3633","-104.4669","64217"
"Pope","Pope","Pope County","05115","AR","Arkansas","35.4479","-93.0345","64131"
"Cumberland","Cumberland","Cumberland County","47035","TN","Tennessee","35.9504","-84.9984","63553"
"Barry","Barry","Barry County","26015","MI","Michigan","42.5950","-85.3090","63409"
"Knox","Knox","Knox County","39083","OH","Ohio","40.3988","-82.4215","63142"
"Lincoln","Lincoln","Lincoln County","29113","MO","Missouri","39.0580","-90.9600","63057"
"Laurel","Laurel","Laurel County","21125","KY","Kentucky","37.1107","-84.1178","62983"
"Haywood","Haywood","Haywood County","37087","NC","North Carolina","35.5560","-82.9822","62662"
"Van Zandt","Van Zandt","Van Zandt County","48467","TX","Texas","32.5637","-95.8365","62649"
"Darlington","Darlington","Darlington County","45031","SC","South Carolina","34.3325","-79.9577","62558"
"Hall","Hall","Hall County","31079","NE","Nebraska","40.8726","-98.5022","62536"
"Garfield","Garfield","Garfield County","08045","CO","Colorado","39.5993","-107.9040","62479"
"Iron","Iron","Iron County","49021","UT","Utah","37.8592","-113.2895","62252"
"Walla Walla","Walla Walla","Walla Walla County","53071","WA","Washington","46.2298","-118.4784","62161"
"Garfield","Garfield","Garfield County","40047","OK","Oklahoma","36.3791","-97.7827","62146"
"Athens","Athens","Athens County","39009","OH","Ohio","39.3339","-82.0452","61737"
"Lyon","Lyon","Lyon County","32019","NV","Nevada","39.0206","-119.1890","61680"
"Tipton","Tipton","Tipton County","47167","TN","Tennessee","35.4973","-89.7566","61553"
"Reno","Reno","Reno County","20155","KS","Kansas","37.9530","-98.0860","61553"
"Waller","Waller","Waller County","48473","TX","Texas","30.0108","-95.9876","61552"
"Livingston","Livingston","Livingston County","36051","NY","New York","42.7280","-77.7755","61498"
"Box Elder","Box Elder","Box Elder County","49003","UT","Utah","41.5210","-113.0821","61246"
"Crawford","Crawford","Crawford County","05033","AR","Arkansas","35.5881","-94.2428","61139"
"Eddy","Eddy","Eddy County","35015","NM","New Mexico","32.4714","-104.3044","61105"
"Columbia","Columbia","Columbia County","36021","NY","New York","42.2501","-73.6318","61100"
"St. Joseph","St. Joseph","St. Joseph County","26149","MI","Michigan","41.9144","-85.5278","60969"
"Granville","Granville","Granville County","37077","NC","North Carolina","36.3040","-78.6527","60877"
"Pike","Pike","Pike County","42103","PA","Pennsylvania","41.3320","-75.0338","60621"
"Washington","Washington","Washington County","36115","NY","New York","43.3137","-73.4308","60522"
"Otter Tail","Otter Tail","Otter Tail County","27111","MN","Minnesota","46.4088","-95.7080","60475"
"Rutland","Rutland","Rutland County","50021","VT","Vermont","43.5801","-73.0363","60425"
"Kenai Peninsula","Kenai Peninsula","Kenai Peninsula Borough","02122","AK","Alaska","60.2654","-151.5651","60413"
"Pickaway","Pickaway","Pickaway County","39129","OH","Ohio","39.6419","-83.0244","60131"
"Newton","Newton","Newton County","29145","MO","Missouri","36.9055","-94.3393","60118"
"Otsego","Otsego","Otsego County","36077","NY","New York","42.6338","-75.0326","60108"
"Washington","Washington","Washington County","50023","VT","Vermont","44.2736","-72.6147","60017"
"Autauga","Autauga","Autauga County","01001","AL","Alabama","32.5349","-86.6427","59947"
"Bradford","Bradford","Bradford County","42015","PA","Pennsylvania","41.7887","-76.5154","59858"
"Pittsylvania","Pittsylvania","Pittsylvania County","51143","VA","Virginia","36.8213","-79.3971","59856"
"Herkimer","Herkimer","Herkimer County","36043","NY","New York","43.4193","-74.9624","59757"
"Coffee","Coffee","Coffee County","47031","TN","Tennessee","35.4906","-86.0748","59710"
"Scott","Scott","Scott County","21209","KY","Kentucky","38.2916","-84.5839","59536"
"Blount","Blount","Blount County","01009","AL","Alabama","33.9809","-86.5674","59518"
"Sampson","Sampson","Sampson County","37163","NC","North Carolina","34.9916","-78.3714","59470"
"Jefferson","Jefferson","Jefferson County","54037","WV","West Virginia","39.3076","-77.8628","59260"
"Oxford","Oxford","Oxford County","23017","ME","Maine","44.4999","-70.7566","59255"
"Gordon","Gordon","Gordon County","13129","GA","Georgia","34.5032","-84.8759","59100"
"Washington","Washington","Washington County","39167","OH","Ohio","39.4553","-81.4953","58978"
"Russell","Russell","Russell County","01113","AL","Alabama","32.2884","-85.1849","58811"
"Sandusky","Sandusky","Sandusky County","39143","OH","Ohio","41.3562","-83.1464","58778"
"Loudon","Loudon","Loudon County","47105","TN","Tennessee","35.7348","-84.3119","58580"
"Mercer","Mercer","Mercer County","54055","WV","West Virginia","37.4055","-81.1114","58563"
"Anderson","Anderson","Anderson County","48001","TX","Texas","31.8133","-95.6525","58439"
"Carson City","Carson City","Carson City","32510","NV","Nevada","39.1511","-119.7476","58384"
"Lafayette","Lafayette","Lafayette County","28071","MS","Mississippi","34.3568","-89.4850","58327"
"Huron","Huron","Huron County","39077","OH","Ohio","41.1463","-82.5980","58319"
"Columbia","Columbia","Columbia County","55021","WI","Wisconsin","43.4666","-89.3337","58272"
"Maverick","Maverick","Maverick County","48323","TX","Texas","28.7426","-100.3145","58082"
"Colbert","Colbert","Colbert County","01033","AL","Alabama","34.7005","-87.8049","58022"
"Chisago","Chisago","Chisago County","27025","MN","Minnesota","45.5025","-92.9083","57991"
"Windsor","Windsor","Windsor County","50027","VT","Vermont","43.5799","-72.5862","57990"
"Hawkins","Hawkins","Hawkins County","47073","TN","Tennessee","36.4412","-82.9447","57964"
"Lowndes","Lowndes","Lowndes County","28087","MS","Mississippi","33.4729","-88.4433","57838"
"Genesee","Genesee","Genesee County","36037","NY","New York","43.0009","-78.1937","57787"
"Hardin","Hardin","Hardin County","48199","TX","Texas","30.3324","-94.3902","57642"
"Pearl River","Pearl River","Pearl River County","28109","MS","Mississippi","30.7688","-89.5896","57458"
"Putnam","Putnam","Putnam County","54079","WV","West Virginia","38.5086","-81.9090","57177"
"Vermilion","Vermilion","Vermilion Parish","22113","LA","Louisiana","29.8465","-92.3242","57123"
"Camden","Camden","Camden County","13039","GA","Georgia","30.9306","-81.6699","56970"
"Acadia","Acadia","Acadia Parish","22001","LA","Louisiana","30.2906","-92.4120","56955"
"Jefferson","Jefferson","Jefferson County","47089","TN","Tennessee","36.0510","-83.4463","56864"
"Lawrence","Lawrence","Lawrence County","39087","OH","Ohio","38.5984","-82.5368","56819"
"Pike","Pike","Pike County","21195","KY","Kentucky","37.4691","-82.3958","56727"
"Carter","Carter","Carter County","47019","TN","Tennessee","36.2928","-82.1275","56712"
